Region,Subregion,Country,City/station,PM10,PM 2.5,of monitoring stations,for air quality
AmrHI,AmrA,Canada,Prince George,14,6,"4 stations (3 commercial, 1 residential) (PM2.5), 2 stations (1 commercial, 1 residential) (PM10)",
AmrHI,AmrA,Canada,Québec,28,9,"Urban Residential, Urban Residential, Urban Residential",
AmrHI,AmrA,Canada,Quesnel,18,7,"3 residential stations (PM2.5), 1 residential station (PM10)",
AmrHI,AmrA,Canada,Red Deer,42,14,Urban Commercial,
AmrHI,AmrA,Canada,Regina,33,7,Urban Commercial,
AmrHI,AmrA,Canada,Revelstoke,14,5,Urban Residential,
AmrHI,AmrA,Canada,Richmond,,4,Urban Residential,
AmrHI,AmrA,Canada,Rouyn-Noranda,22,7,Urban Residential,
AmrHI,AmrA,Canada,Saguenay,,6,Urban Residential,
AmrHI,AmrA,Canada,Saint John,24,8,"Urban Residential, Urban Residential, Urban Residential, Urban Residential",
AmrHI,AmrA,Canada,Saint-Anicet,,10,Rural Agricultural,
AmrHI,AmrA,Canada,Saint-Jean-Sur-Richelieu,,8,Rural Agricultural,
AmrHI,AmrA,Canada,Saint-Simon,,7,Rural Agricultural,
AmrHI,AmrA,Canada,Sarnia,37,12,Urban Residential,
AmrHI,AmrA,Canada,Saskatoon,22,7,Urban Commercial,
AmrHI,AmrA,Canada,Senneterre,22,7,Rural Forest,
AmrHI,AmrA,Canada,Sherbrooke,20,7,Urban Residential,
AmrHI,AmrA,Canada,Simcoe,,8,Rural Agricultural,
AmrHI,AmrA,Canada,Smithers,15,," (PM2.5), residential (PM10)",
AmrHI,AmrA,Canada,Squamish,35,13,Urban Residential,
AmrHI,AmrA,Canada,St. Andrews,,6,Rural Undeveloped,
AmrHI,AmrA,Canada,St. Catharines,25,8,Urban Commercial,
AmrHI,AmrA,Canada,St. John's,,8,Urban Commercial,
AmrHI,AmrA,Canada,St. Zéphirin-de-Courval,,7,Rural Agricultural,
AmrHI,AmrA,Canada,St-Hilaire-de-Dorset,,9,Rural Forest,
AmrHI,AmrA,Canada,Stukely-Sud,,9,Rural Forest,
AmrHI,AmrA,Canada,Sudbury,14,5,Urban Commercial,
AmrHI,AmrA,Canada,Telkwa,,4,Urban Residential,
AmrHI,AmrA,Canada,Terrace,14,," (PM2.5), commercial (PM10)",
AmrHI,AmrA,Canada,Thorsby,,6,Rural Agricultural,
AmrHI,AmrA,Canada,Thunder Bay,13,4,Urban Residential,
AmrHI,AmrA,Canada,Tingwick,,10,Rural Agricultural,
AmrHI,AmrA,Canada,Tiverton,,6,Rural Undeveloped,
AmrHI,AmrA,Canada,Tomahawk,,5,Rural Agricultural,
AmrHI,AmrA,Canada,Toronto,24,8,"Urban Residential, Urban Residential, Urban Commercial, Urban Residential, Urban Commercial, Urban Commercial",
AmrHI,AmrA,Canada,Trois-Rivières,34,11,Urban Residential,
AmrHI,AmrA,Canada,Vancouver,11,4,"3 residential stations (PM2.5), 1 residential station (PM10)",
AmrHI,AmrA,Canada,Vanderhoof,,8,Urban Residential,
AmrHI,AmrA,Canada,Vernon,18,5,Urban Residential,
AmrHI,AmrA,Canada,Victoria,27,8,Urban Commercial,
AmrHI,AmrA,Canada,Whistler,12,4,Urban Residential,
AmrHI,AmrA,Canada,Williams Lake,15,," (PM2.5), residential (PM10)",
AmrHI,AmrA,Canada,Windsor,29,10,"Urban Commercial, Urban Residential",
AmrHI,AmrA,Canada,Winnipeg,15,6,"Urban Residential, Urban Commercial",
AmrHI,AmrB,Chile,Antofagasta,38,16,3 stations,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Calama,71,29,4 stations,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,"Calera, rural",41,17,"1 station, rural",Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Chillán,62,53,1 station,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Concón,37,15,2 stations,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Copiapó,66,27,3 stations,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Coquimbo,34,14,2 stations,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Iquique,35,14,3 stations,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,La Calera,58,24,1 station,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,La Cruz,45,18,1 station,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,La Quillota,36,15,4 stations,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Los Andes,52,21,1 station,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Machalì,38,16,1 station,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Puente Alto,59,22,1 station,Sistema de Información Nacional de Calidad del Aire
AmrHI,AmrB,Chile,Rancagua,79,54,1 station,Sistema de Información Nacional de Calidad del Aire
